product_name,product_url,category,images_count,local_files
"Аккумулятор для стреляющего шокера Bolt",https://paralizator.com.ua/akkumulyator-bolt,"Аксессуары и комплектующие",3,"data/images_original/image/catalog/fototovarov/detali/bolt/battery-taser-bolt-11.jpg | data/images_original/image/catalog/fototovarov/detali/bolt/battery-taser-bolt-2.jpg | data/images_original/image/catalog/fototovarov/detali/bolt/battery-taser-c2-2.jpg"
"Аккумулятор для стреляющего шокера X26P",https://paralizator.com.ua/akkumulyator-x26p,"Аксессуары и комплектующие",3,"data/images_original/image/catalog/fototovarov/detali/x26p/battery-taser-x26p-11.jpg | data/images_original/image/catalog/fototovarov/detali/x26p/battery-taser-x26p-3.jpg | data/images_original/image/catalog/fototovarov/detali/x26p/battery-taser-x26p-2.jpg"
"Аккумулятор для стреляющего электрошокера C2",https://paralizator.com.ua/battery-c2,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/taser-c2/battery-taser-c2-11.jpg | data/images_original/image/catalog/fototovarov/detali/bolt/battery-taser-c2-2.jpg"
"Аккумулятор для стреляющего шокера Pulse",https://paralizator.com.ua/battery-pulse,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/pulse/battery-taser-pulse-1.jpg | data/images_original/image/catalog/fototovarov/detali/pulse/battery-taser-pulse-2.jpg"
"Аккумулятор для многозарядного электрошокера X2",https://paralizator.com.ua/battery-x2,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/tazerx2/battery-taser-x2-11.jpg | data/images_original/image/catalog/fototovarov/detali/tazerx2/battery-taser-x2-2.jpg"
"Картридж для стреляющего шокера Bolt",https://paralizator.com.ua/cartridge-bolt,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/bolt/cartridge-taser-bolt-1.jpg | data/images_original/image/catalog/fototovarov/detali/bolt/cartridge-taser-bolt-2.jpg"
"Картридж для стреляющего шокера C2",https://paralizator.com.ua/cartridge-c2,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/taser-c2/cartridge-taser-c2-1.jpg | data/images_original/image/catalog/fototovarov/detali/taser-c2/cartridge-taser-c2-2.jpg"
"Картридж для стреляющего шокера Phazzer A1",https://paralizator.com.ua/cartridge-phazzer-a1,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/taser-a1/cartridge-taser-a1-1.jpg | data/images_original/image/catalog/fototovarov/detali/taser-a1/cartridge-taser-a1-2.jpg"
"Картридж для стреляющего шокера Phazzer",https://paralizator.com.ua/cartridge-phazzer,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/tser/cartridge-taser-1.jpg | data/images_original/image/catalog/fototovarov/detali/tser/cartridge-taser-2.jpg"
"Картридж для стреляющего шокера Pulse",https://paralizator.com.ua/cartridge-pulse,"Аксессуары и комплектующие",2,"data/images_original/image/catalog/fototovarov/detali/pulse/cartridge-taser-pulse-1.jpg | data/images_original/image/catalog/fototovarov/detali/pulse/cartridge-taser-pulse-2.jpg"
