name,category,subcategory,price_uah,in_stock,orders,views,reviews,slug
"Шокер Sherhan Police BL 1101","Фонарики электрошокеры",,1300,yes,1011,69279,6,elektroshoker-sherhan-1101-20000-w-original
"Шокер ОСА 928 Power","Классические электрошокеры",,6000,yes,629,83506,45,elektroshoker-osa-928-power
"Шокер ОСА 928 PRO","Классические электрошокеры",,3000,yes,593,35742,25,elektroshoker-osa-928-pro
"Шокер TW-1802","Фонарики электрошокеры",,1500,yes,455,28382,13,elektroshoker-1802
"Шокер Scorpion BL 1102 Police","Фонарики электрошокеры",,1500,yes,423,26104,13,elektroshoker-scorpion-1102-original-s-chehlom
"Шокер Крайт 928 Viper","Классические электрошокеры",,4000,yes,417,39172,30,elektroshoker-krayt-928-viper
"Шокер Шерхан 1101 PRO Police","Фонарики электрошокеры",,1500,yes,346,17042,11,elektroshoker-sherhan-1101
"Шокер Gepard (TW-309)","Классические электрошокеры",,1900,yes,320,30166,11,elektroshoker-gepard
"Стреляющий шокер Phazzer","Стреляющие электрошокеры",,9500,yes,309,97328,13,strelyayushchiy-shoker-phazzer
"Шокер ОСА 800","Классические электрошокеры",,1500,yes,305,44789,14,elektroshoker-osa-800
"Телескопическая дубинка шокер HY-X10 Police","Дубинки электрошокеры",,4500,yes,295,38433,10,teleskopicheskij-elektroshoker-dubinka-hy-x10-police
"Шокер 800 Turbo","Классические электрошокеры",,3000,yes,237,11054,21,elektroshoker-800-turbo
"Шокер Фантом BL T10 Police","Фонарики электрошокеры",,2000,yes,229,23576,11,elektroshoker-phantom-zz-t10-police
"Шокер 6800 Police","Фонарики электрошокеры",,2000,yes,224,27418,16,shoker-6800
"Шокер ОСА 704 PRO","Классические электрошокеры",,2000,yes,215,19694,16,elektroshoker-osa-704
"Шокер BL 1105 Police","Фонарики электрошокеры",,2500,yes,203,31015,7,elektroshoker-bl-1105-police
"Шокер ОСА 801 Mini","Классические электрошокеры",,1700,yes,189,28040,11,elektroshoker-osa-800-mini
"Электрошокер Scorpion 1111 Police","Фонарики электрошокеры",,0,no,188,7898,8,elektroshoker-scorpion-1111-police
"Электрошокер ОСА 1002","Фонарики электрошокеры",,0,no,176,24041,17,shoker-osa-1002
"Шокер TW-1901","Классические электрошокеры",,2000,yes,153,13879,8,shoker-tw-1901
"Телескопический шокер HY-X10 Gold Premium","Дубинки электрошокеры",,6000,yes,151,4930,5,shoker-hy-x10-gold-premium
"Шокер K99","Фонарики электрошокеры",,5000,yes,148,49953,11,elektroshoker-k99
"Шокер дубинка HY X8 Police","Дубинки электрошокеры",,3000,yes,140,11774,4,elektroshoker-x8-police
"Шокер ZZ 1168 Police","Фонарики электрошокеры",,0,no,139,4309,6,elektroshoker-barracuda-1168-police-original
"Шокер TW-1902 Type","Классические электрошокеры",,3000,yes,134,50388,10,elektroshoker-tw-1902
"Шокер X4 Police","Фонарики электрошокеры",,2800,yes,132,18410,7,elektroshoker-x4-police
"Шокер смартфон K50","Телефоны электрошокеры",,1200,yes,129,5564,9,elektroshoker-telefon-k50
"Стреляющий шокер X26P","Стреляющие электрошокеры",,0,no,129,57849,4,strelyayushchiy-shoker-x26p-usa
"Шокер T1908","Фонарики электрошокеры",,3000,yes,120,27331,3,shoker-t1908
"Шокер 1315 Police","Фонарики электрошокеры",,3000,yes,115,6462,6,elektroshoker-1315-police
"Шокер помада ОСА 1202 (красный)","Женские электрошокеры",,1500,yes,115,7955,12,elektroshoker-osa-1202-lady-red
"Шокер BL X5 Police","Фонарики электрошокеры",,1500,yes,108,8739,8,elektroshoker-bl-x5-police
"Шокер TW-398","Классические электрошокеры",,1700,yes,107,10295,4,shoker-tw-398
"Шокер Titan 1108 Police","Фонарики электрошокеры",,2000,yes,104,8720,12,elektroshoker-titan-1108-original
"Шокер BL M11 Police","Фонарики электрошокеры",,1500,yes,103,6251,4,elektroshoker-bl-m11-police
"Шокер AKIS PRO (black)","Классические электрошокеры",,0,no,98,6281,2,elektroshoker-akis-pro-black
"Шокер Dragon AB-3000","Классические электрошокеры",,0,no,98,12301,2,shoker-dragon-3000
"Картридж для стреляющего шокера Phazzer","Аксессуары и комплектующие","Картриджи для электрошокеров",600,yes,97,3229,0,cartridge-phazzer
"Электрошокер ZZ 8810 Police","Фонарики электрошокеры",,2000,yes,97,6035,9,elektroshoker-tiger-8810-police-original-s-chehlom
"Шокер Titan 1108 Ultra Police","Фонарики электрошокеры",,0,no,92,6512,6,elektroshoker-titan-1108-ultra-police-germany
"Электрошокер BL 1203 Police","Фонарики электрошокеры",,3000,yes,91,8346,13,shoker-1203-police
"Стреляющий шокер Phazzer Ultra","Стреляющие электрошокеры",,12000,yes,90,29099,3,strelyayushij-elektroshoker-phazzer-ultra
"Шокер X8 Gold Premium","Дубинки электрошокеры",,0,no,87,3853,3,shoker-x8-gold-premium
"Шокер ZEUS","Классические электрошокеры",,2500,yes,86,22659,18,elektroshoker-zeus
"Шокер CW-1","Классические электрошокеры",,10000,yes,84,40597,6,elektroshoker-cw-1
"Шокер ОСА 916 PRO","Классические электрошокеры",,0,no,84,1275,1,elektroshoker-osa-916-pro
"Шокер BL 1158 Police","Фонарики электрошокеры",,0,no,78,5370,5,elektroshoker-fonar-bl-1158-police
"Шокер Titan 1108 PRO Police","Фонарики электрошокеры",,3000,yes,78,6144,9,elektroshoker-titan-1108-pro-police-black
"Шокер TW-1102","Фонарики электрошокеры",,0,no,78,5791,4,shoker-tw-1102
"Стреляющий шокер Phazzer A1","Стреляющие электрошокеры",,15000,yes,78,22996,6,strelyayushchiy-elektroshoker-phazzer-a1
"Шокер STORM","Фонарики электрошокеры",,0,no,77,5711,10,elektroshoker-storm-original-s-chehlom
"Шокер BL 1104 Police","Фонарики электрошокеры",,2200,yes,77,13946,8,elektroshoker-zz-1104-police-original-s-chehlom
"Шокер H-9","Фонарики электрошокеры",,1700,yes,74,6121,1,shoker-h9
"Картридж для многозарядного электрошокера X2","Аксессуары и комплектующие","Картриджи для электрошокеров",3000,yes,73,964,0,cartridge-x2
"Шокер BL 1103 Police","Фонарики электрошокеры",,1500,yes,70,15462,5,elektroshoker-fonar-bl-1103-police
"Шокер Кастет Blast Knuckle 008","Классические электрошокеры",,2000,yes,69,12286,11,elektroshoker-kastet-blast-knuckle
"Шокер AKIS PRO (yellow)","Женские электрошокеры",,0,no,67,1059,1,elektroshoker-akis-pro-yellow
"Шокер KL 800","Классические электрошокеры",,0,no,66,11652,18,elektroshoker-kl-800
"Шокер дубинка ОСА 1109 Police","Дубинки электрошокеры",,0,no,66,14665,4,elektroshoker-osa-1109-police
"Электрошокер Scorpion 1102 Turbo Police","Фонарики электрошокеры",,0,no,63,4331,8,elektroshoker-scorpion-1102-turbo-police-original
"Шокер JW-02 Type","Классические электрошокеры",,0,no,60,5001,1,shoker-jw-02
"Шокер ОСА 1001","Фонарики электрошокеры",,0,no,58,4535,8,elektroshoker-osa-1001
"Шокер TW-1803","Фонарики электрошокеры",,0,no,58,4802,2,shoker-tw-1803
"Шокер брелок BMW 007","Женские электрошокеры",,900,yes,53,6607,1,elektroshoker-osa-007-bmw-pink
"Шокер Blaze 288 Police","Фонарики электрошокеры",,0,no,52,3525,6,elektroshoker-fonar-osa-288-police
"Шокер Strike 1109 Police","Фонарики электрошокеры",,2400,yes,52,4078,3,elektroshoker-strike-1109-police-original-s-chehlom
"Молния YB-1321","Фонарики электрошокеры",,2500,yes,51,3306,9,elektroshoker-2018-police
"Шокер Eagle W2009","Классические электрошокеры",,0,no,51,3471,19,elektroshoker-w2009
"Шокер Cobra 1106 Police","Фонарики электрошокеры",,2000,yes,46,4481,6,elektroshoker-cobra-1106
"Шокер ZZ BL-2013 Police","Фонарики электрошокеры",,0,no,45,3451,6,elektroshoker-zz-2013-police
"Шокер ОСА 618","Классические электрошокеры",,1500,yes,43,18409,9,elektroshoker-osa-618
"Электрошокер i4","Телефоны электрошокеры",,0,no,41,3589,11,elektroshoker-iphone-i4
"Шокер JW-05 Type","Классические электрошокеры",,0,no,40,6000,1,elektroshoker-jw-05
"Шокер Iphone 4s","Телефоны электрошокеры",,0,no,39,4192,7,elektroshoker-iphone-7
"Шокер K59","Фонарики электрошокеры",,0,no,37,4090,2,shoker-k59
"Шокер Cobra 1106 PRO Police","Фонарики электрошокеры",,3000,yes,34,4570,6,elektroshoker-cobra-1106-pro-police
"Шокер Piranha X3 Police","Фонарики электрошокеры",,0,no,34,3136,12,elektroshoker-piranha-x3-police
"Шокер 6610B Zoom","Фонарики электрошокеры",,0,no,34,4176,3,shoker-6610b
"Шокер помада ОСА 1202 (синий)","Женские электрошокеры",,1500,yes,33,3056,5,elektroshoker-osa-1202-lady
"Ультразвуковой отпугиватель собак D02","Ультразвуковые отпугиватели собак",,0,no,32,978,7,otpugivatel-d02
"Электрошокер TW-10","Классические электрошокеры",,3000,yes,31,4540,3,elektroshoker-alarm-tw-10
"Шокер Desert Eagle (TW-302)","Классические электрошокеры",,5000,yes,31,5377,7,elektroshoker-desert-eagle-tw-302
"Шокер H168 Police","Дубинки электрошокеры",,0,no,31,7478,1,elektroshoker-h168
"Шокер дубинка BL 1138 Police","Дубинки электрошокеры",,4000,yes,30,5910,6,elektroshoker-bl-1138-police
"Шокер K58","Фонарики электрошокеры",,2500,yes,29,4368,3,shoker-k58
"Шокер TW-1701","Женские электрошокеры",,1500,yes,29,2627,0,shoker-tw-1701
"Шокер помада TW-328 розовый","Женские электрошокеры",,1500,yes,29,1433,0,shoker-tw-328
"Шокер Scorpion 1102 Power Police Plus","Фонарики электрошокеры",,0,no,28,3784,4,elektroshoker-power-police-plus-germaniya
"Шокер X6","Классические электрошокеры",,0,no,28,3244,11,elektroshoker-x6-original
"Электрошокер BL 1201 Police","Фонарики электрошокеры",,0,no,27,4558,8,elektroshoker-bl-1201-police
"Шокер Tiger 8810 Police (X-Men)","Фонарики электрошокеры",,0,no,27,3018,9,elektroshoker-tiger-8810-police-x-men
"Шокер бита 1188 Police","Дубинки электрошокеры",,0,no,26,5045,4,elektroshoker-osa-1188-police
"Электрошокер 1101 Type Light Flashlight Plus Reinforced","Фонарики электрошокеры",,0,no,26,10226,6,elektroshoker-sherhan-1101-ultra-germaniya
"Ультразвуковой отпугиватель собак ZF2006","Ультразвуковые отпугиватели собак",,1500,yes,26,733,5,otpugivatel-zf2006
"Шокер губная помада 1202","Женские электрошокеры",,0,no,26,2062,5,shoker-osa-1202-black
"Электрошокер ОСА 912 JIDU","Фонарики электрошокеры",,0,no,25,3332,8,elektroshoker-osa-912-jidu
"Шокер 1202 Type Self Defensive Flashlight","Женские электрошокеры",,0,no,25,3901,10,shoker-osa-1202-pink
"Шокер 910A Police","Фонарики электрошокеры",,0,no,24,2391,15,elektroshoker-910a-police-original-s-chehlom
"Шокер K80","Телефоны электрошокеры",,1500,yes,23,2183,8,elektroshoker-iphone-10
"Шокер HY-A2","Классические электрошокеры",,0,no,23,7277,0,shoker-a2
"Ультразвуковой отпугиватель собак PU-31","Ультразвуковые отпугиватели собак",,1500,yes,22,674,4,otpugivatel-pu31
"Шокер HY-6601","Классические электрошокеры",,0,no,21,4165,1,shoker-6601
"Картридж для стреляющего шокера X26P","Аксессуары и комплектующие","Картриджи для электрошокеров",0,no,20,1844,0,cartridge-x26p
"Шокер K90 black","Женские электрошокеры",,0,no,20,3566,17,elektroshoker-k90-lady-black
"Шокер телефон TW-109","Телефоны электрошокеры",,1500,yes,20,3429,6,elektroshoker-tw-109-extra
"Шокер H-11","Женские электрошокеры",,0,no,20,768,1,shoker-h11
"Шокер BL X6 Prime","Фонарики электрошокеры",,0,no,19,2867,17,shoker-x6-prime
"Шокер Kelin K95","Телефоны электрошокеры",,1300,yes,18,2947,5,elektroshoker-kelin-k95
"Ультразвуковой отпугиватель собак PY-03","Ультразвуковые отпугиватели собак",,0,no,18,586,6,otpugivatel-py03
"Шокер KL-9902","Фонарики электрошокеры",,0,no,18,2497,1,shoker-9902
"Картридж для стреляющего шокера Phazzer A1","Аксессуары и комплектующие","Картриджи для электрошокеров",800,yes,17,2165,0,cartridge-phazzer-a1
"Стреляющий шокер Bolt","Стреляющие электрошокеры",,0,no,17,9921,6,strelyayushchiy-shoker-bolt-usa
"Шокер YJ-02","Женские электрошокеры",,0,no,16,4437,4,elektroshoker-yj-02
"Ультразвуковой отпугиватель собак P9","Ультразвуковые отпугиватели собак",,2000,yes,16,633,5,otpugivatel-p9
"Ультразвуковой отпугиватель собак K10","Ультразвуковые отпугиватели собак",,2000,yes,15,519,5,otpugivatel-k10
"Шокер брелок BMW 007","Женские электрошокеры",,0,no,14,3979,0,elektroshoker-bmw-007-black
"Шокер ОСА 811","Классические электрошокеры",,0,no,14,2226,5,shoker-osa-811
"Шокер ОСА 888","Классические электрошокеры",,0,no,13,6630,11,elektroshoker-osa-888
"Шокер Marlboro","Классические электрошокеры",,0,no,12,2699,12,elektroshoker-marlboro-red
"Шокер CH-46","Фонарики электрошокеры",,0,no,12,1490,2,fonarik-elektroshoker-ch-46
"Электрошокер X6 Gold","Классические электрошокеры",,0,no,12,4432,4,shoker-avatar-x6
"Шокер BL 1132 Police","Дубинки электрошокеры",,0,no,12,4530,0,shoker-bl-1132
"Шокер Fist 806","Женские электрошокеры",,0,no,11,1932,1,shoker-fist-806
"Шокер TW-1602","Женские электрошокеры",,0,no,11,532,0,shoker-tw-1602
"Шокер TK158","Фонарики электрошокеры",,6500,yes,10,1897,1,shoker-tk158
"Шокер BL 007 Police Wolf Tooth","Фонарики электрошокеры",,0,no,8,2117,13,elektroshoker-bl-007-police
"Стреляющий шокер Phazzer X1","Стреляющие электрошокеры",,25000,yes,8,1725,0,strelyayushij-shoker-phazzer-x1
"Шокер TW-1502","Женские электрошокеры",,0,no,7,963,0,shoker-1502
"Электрошокер YT-10 Police (США)","Дубинки электрошокеры",,0,no,7,3205,4,teleskopicheskiy-elektroshoker-yt-10-police
"Шокер ОСА 105","Фонарики электрошокеры",,0,no,6,2044,2,elektroshoker-osa-805105-original
"Ультразвуковой отпугиватель собак N11","Ультразвуковые отпугиватели собак",,0,no,6,431,2,otpugivatel-n11
"Шокер GT-911","Классические электрошокеры",,8000,yes,6,1174,5,shoker-gt-911
"Шокер брелок TW-1801","Женские электрошокеры",,1500,yes,6,788,0,shoker-tw-1801
"Ультразвуковой отпугиватель собак K30","Ультразвуковые отпугиватели собак",,1200,yes,5,378,2,otpugivatel-k30
"Ультразвуковой отпугиватель собак QG-12","Ультразвуковые отпугиватели собак",,1800,yes,5,290,4,otpugivatel-qg12
"Шокер брелок Bats","Женские электрошокеры",,0,no,5,789,0,shoker-bats
"Ультразвуковой отпугиватель собак PU-30","Ультразвуковые отпугиватели собак",,900,yes,4,352,1,otpugivatel-pu30
"Ультразвуковой отпугиватель собак ZF-851","Ультразвуковые отпугиватели собак",,0,no,4,247,2,otpugivatel-zf851
"Шокер JOLT","Классические электрошокеры",,0,no,4,899,0,shoker-jolt
"Электрошокер ОСА 809 Police","Дубинки электрошокеры",,3000,yes,3,1627,0,elektroshoker-osa-809
"Шокер ОСА 958","Классические электрошокеры",,0,no,3,1777,3,shoker-osa-958
"Ультразвуковой отпугиватель собак ZF-853","Ультразвуковые отпугиватели собак",,700,yes,3,485,2,ultrazvukovoj-otpugivatel-zf-851
"Шокер HY-6610","Фонарики электрошокеры",,0,no,2,2496,1,elektroshoker-6610
"Ультразвуковой отпугиватель собак QG-07","Ультразвуковые отпугиватели собак",,1200,yes,2,66,1,otpugivatel-qg-07
"Шокер K90 red","Женские электрошокеры",,0,no,2,739,0,shoker-k90-red
"Шокер дубинка ОСА 1118 Police","Дубинки электрошокеры",,0,no,2,498,0,shoker-osa-1118
"Шокер ОСА 1118B Police","Дубинки электрошокеры",,0,no,2,520,0,shoker-osa-1118b
"Стреляющий шокер Phazzer Eagle","Стреляющие электрошокеры",,19500,yes,2,1322,1,strelyayushij-shoker-phazzer-eagle
"Шокер WS-1203 Type","Классические электрошокеры",,1500,yes,1,598,2,shoker-ws-1203
"Аккумулятор для стреляющего шокера Bolt","Аксессуары и комплектующие","Аккумуляторы для электрошокеров",0,no,0,820,0,akkumulyator-bolt
"Аккумулятор для стреляющего шокера X26P","Аксессуары и комплектующие","Аккумуляторы для электрошокеров",0,no,0,995,0,akkumulyator-x26p
"Аккумулятор для стреляющего электрошокера C2","Аксессуары и комплектующие","Аккумуляторы для электрошокеров",0,no,0,827,0,battery-c2
"Аккумулятор для стреляющего шокера Pulse","Аксессуары и комплектующие","Аккумуляторы для электрошокеров",0,no,0,649,0,battery-pulse
"Аккумулятор для многозарядного электрошокера X2","Аксессуары и комплектующие","Аккумуляторы для электрошокеров",0,no,0,803,0,battery-x2
"Картридж для стреляющего шокера Bolt","Аксессуары и комплектующие","Картриджи для электрошокеров",0,no,0,649,0,cartridge-bolt
"Картридж для стреляющего шокера C2","Аксессуары и комплектующие","Картриджи для электрошокеров",0,no,0,633,0,cartridge-c2
"Картридж для стреляющего шокера Pulse","Аксессуары и комплектующие","Картриджи для электрошокеров",0,no,0,721,0,cartridge-pulse
"Электрошокер ОСА 989","Дубинки электрошокеры",,0,no,0,1448,0,elektroshoker-dubinka-osa-989
"Электрошокер JA-1108 Police (Korea)","Дубинки электрошокеры",,0,no,0,1000,0,elektroshoker-ja-1108
"Электрошокер ОСА 1110","Дубинки электрошокеры",,0,no,0,2156,0,elektroshoker-osa-1110
"Электрошокер ОСА 806","Дубинки электрошокеры",,0,no,0,1144,0,elektroshoker-osa-806
Шнур,,,10,yes,0,69,0,shnur
"Шокер JW-03 Type","Классические электрошокеры",,1500,yes,0,813,0,shoker-jw-03
"Многозарядный шокер X2","Стреляющие электрошокеры",,0,no,0,10494,0,strelyayushchiy-elektroshoker-x2-usa
