source,category,subcategory,product_name,sku,price,old_price,currency,availability,short_description,full_description,characteristics_json,images_json,video,meta_title,meta_description,meta_keywords,breadcrumbs,product_url,parsed_at,status,error
,"Аксессуары и комплектующие","Аккумуляторы для электрошокеров","Аккумулятор для стреляющего шокера Bolt",170,,,UAH,"Нет в наличии","【Аккумулятор для шокера Taser Bolt】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Аккумулятор для стреляющего шокера Bolt — качественная и проверенная комплектующая, подходящая для штатной замены без потери характеристик. Совместимость: Bolt, C2. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Аккумулятор для стреляющего шокера Bolt»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> Bolt, C2</li><li><strong>Габаритные размеры:</strong> 40х40х20 мм</li><li><strong>Вес:</strong> 50 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Аккумулятор для стреляющего шокера Bolt</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Оформите заказ на «Аккумулятор для стреляющего шокера Bolt» — поможем с выбором, проконсультируем и оперативно отправим в ваш город.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""40х40х20 мм"",""Вес"":""50 грамм"",""Совместимость"":""Bolt, C2""}","[""image/catalog/fototovarov/detali/bolt/battery-taser-bolt-11.jpg"",""image/catalog/fototovarov/detali/bolt/battery-taser-bolt-2.jpg"",""image/catalog/fototovarov/detali/bolt/battery-taser-c2-2.jpg""]",,"≡ Аккумулятор для электрошокера Тазер Bolt | Paralizator","【Аккумулятор для шокера Taser Bolt】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","аккумулятор для стреляющего шокера bolt, аккумулятор, стреляющего, bolt, сша, аксессуары и комплектующие, аккумуляторы для электрошокеров, купить аккумулятор для стреляющего шокера bolt","Главная > Аксессуары и комплектующие > Аккумуляторы для электрошокеров",https://paralizator.com.ua/akkumulyator-bolt,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Аккумуляторы для электрошокеров","Аккумулятор для стреляющего шокера X26P",168,,,UAH,"Нет в наличии","【Аккумулятор для Taser X26P】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Аккумулятор для стреляющего шокера X26P — качественная и проверенная комплектующая, подходящая для штатной замены без потери характеристик. Совместимость: X26P, X2. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Аккумулятор для стреляющего шокера X26P»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> X26P, X2</li><li><strong>Габаритные размеры:</strong> 60х35х20 мм</li><li><strong>Вес:</strong> 70 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Аккумулятор для стреляющего шокера X26P</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Оформите заказ на «Аккумулятор для стреляющего шокера X26P» — поможем с выбором, проконсультируем и оперативно отправим в ваш город.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""60х35х20 мм"",""Вес"":""70 грамм"",""Совместимость"":""X26P, X2""}","[""image/catalog/fototovarov/detali/x26p/battery-taser-x26p-11.jpg"",""image/catalog/fototovarov/detali/x26p/battery-taser-x26p-3.jpg"",""image/catalog/fototovarov/detali/x26p/battery-taser-x26p-2.jpg""]",,"≡ Аккумулятор для электрошокера Тазер X26P | Paralizator","【Аккумулятор для Taser X26P】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","аккумулятор для стреляющего шокера x26p, аккумулятор, стреляющего, x26p, сша, аксессуары и комплектующие, аккумуляторы для электрошокеров, купить аккумулятор для стреляющего шокера x26p","Главная > Аксессуары и комплектующие > Аккумуляторы для электрошокеров",https://paralizator.com.ua/akkumulyator-x26p,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Аккумуляторы для электрошокеров","Аккумулятор для стреляющего электрошокера C2",171,,,UAH,"Нет в наличии","【Аккумулятор для шокера Taser C2】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Аккумулятор для стреляющего электрошокера C2 — качественная и проверенная комплектующая, подходящая для штатной замены без потери характеристик. Совместимость: Bolt, C2. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Аккумулятор для стреляющего электрошокера C2»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> Bolt, C2</li><li><strong>Габаритные размеры:</strong> 40х40х20 мм</li><li><strong>Вес:</strong> 50 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Аккумулятор для стреляющего электрошокера C2</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Оформите заказ на «Аккумулятор для стреляющего электрошокера C2» — поможем с выбором, проконсультируем и оперативно отправим в ваш город.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""40х40х20 мм"",""Вес"":""50 грамм"",""Совместимость"":""Bolt, C2""}","[""image/catalog/fototovarov/detali/taser-c2/battery-taser-c2-11.jpg"",""image/catalog/fototovarov/detali/bolt/battery-taser-c2-2.jpg""]",,"≡ Аккумулятор для шокера Taser C2 | Paralizator","【Аккумулятор для шокера Taser C2】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","аккумулятор для стреляющего электрошокера c2, аккумулятор, стреляющего, сша, аксессуары и комплектующие, аккумуляторы для электрошокеров, купить аккумулятор для стреляющего электрошокера c2","Главная > Аксессуары и комплектующие > Аккумуляторы для электрошокеров",https://paralizator.com.ua/battery-c2,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Аккумуляторы для электрошокеров","Аккумулятор для стреляющего шокера Pulse",172,,,UAH,"Нет в наличии","【Аккумулятор для шокера Taser Pulse】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Аккумулятор для стреляющего шокера Pulse — оригинальное комплектующее, которое обеспечивает стабильную работу вашего устройства и продлевает срок его службы. Совместимость: Pulse. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Аккумулятор для стреляющего шокера Pulse»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> Pulse</li><li><strong>Габаритные размеры:</strong> 35х30х15 мм</li><li><strong>Вес:</strong> 40 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Аккумулятор для стреляющего шокера Pulse</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Заказать «Аккумулятор для стреляющего шокера Pulse» можно с доставкой по всей Украине — отправка в день оформления заказа Новой Почтой.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""35х30х15 мм"",""Вес"":""40 грамм"",""Совместимость"":""Pulse""}","[""image/catalog/fototovarov/detali/pulse/battery-taser-pulse-1.jpg"",""image/catalog/fototovarov/detali/pulse/battery-taser-pulse-2.jpg""]",,"≡ Аккумулятор для электрошокера Тазер Puls | Paralizator","【Аккумулятор для шокера Taser Pulse】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","аккумулятор для стреляющего шокера pulse, аккумулятор, стреляющего, pulse, сша, аксессуары и комплектующие, аккумуляторы для электрошокеров, купить аккумулятор для стреляющего шокера pulse","Главная > Аксессуары и комплектующие > Аккумуляторы для электрошокеров",https://paralizator.com.ua/battery-pulse,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Аккумуляторы для электрошокеров","Аккумулятор для многозарядного электрошокера X2",169,,,UAH,"Нет в наличии","【Аккумулятор для Taser X2】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Перед вами Аккумулятор для многозарядного электрошокера X2 — совместимый аксессуар для надёжной и долгой эксплуатации электрошокера. Совместимость: X26P, X2. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Аккумулятор для многозарядного электрошокера X2»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> X26P, X2</li><li><strong>Габаритные размеры:</strong> 60х35х20 мм</li><li><strong>Вес:</strong> 70 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Аккумулятор для многозарядного электрошокера X2</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Купить «Аккумулятор для многозарядного электрошокера X2» по выгодной цене с быстрой доставкой и проверкой при получении вы можете прямо сейчас.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""60х35х20 мм"",""Вес"":""70 грамм"",""Совместимость"":""X26P, X2""}","[""image/catalog/fototovarov/detali/tazerx2/battery-taser-x2-11.jpg"",""image/catalog/fototovarov/detali/tazerx2/battery-taser-x2-2.jpg""]",,"≡ Аккумулятор для многозарядного шокера Тазер X2 | Paralizator","【Аккумулятор для Taser X2】 Замена элементов питания ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","аккумулятор для многозарядного электрошокера x2, аккумулятор, многозарядного, сша, аксессуары и комплектующие, аккумуляторы для электрошокеров, купить аккумулятор для многозарядного электрошокера x2","Главная > Аксессуары и комплектующие > Аккумуляторы для электрошокеров",https://paralizator.com.ua/battery-x2,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Картриджи для электрошокеров","Картридж для стреляющего шокера Bolt",175,,,UAH,"Нет в наличии","【Картридж для шокера Taser Bolt】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Картридж для стреляющего шокера Bolt — качественная и проверенная комплектующая, подходящая для штатной замены без потери характеристик. Совместимость: Bolt, C2, Pulse. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Картридж для стреляющего шокера Bolt»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> Bolt, C2, Pulse</li><li><strong>Габаритные размеры:</strong> 50х30х25 мм</li><li><strong>Вес:</strong> 35 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Картридж для стреляющего шокера Bolt</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Оформите заказ на «Картридж для стреляющего шокера Bolt» — поможем с выбором, проконсультируем и оперативно отправим в ваш город.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""50х30х25 мм"",""Вес"":""35 грамм"",""Совместимость"":""Bolt, C2, Pulse""}","[""image/catalog/fototovarov/detali/bolt/cartridge-taser-bolt-1.jpg"",""image/catalog/fototovarov/detali/bolt/cartridge-taser-bolt-2.jpg""]",,"≡ Картридж для электрошокера Тазер Bolt | Paralizator","【Картридж для шокера Taser Bolt】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","картридж для стреляющего шокера bolt, картридж, стреляющего, bolt, сша, аксессуары и комплектующие, картриджи для электрошокеров, купить картридж для стреляющего шокера bolt","Главная > Аксессуары и комплектующие > Картриджи для электрошокеров",https://paralizator.com.ua/cartridge-bolt,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Картриджи для электрошокеров","Картридж для стреляющего шокера C2",179,,,UAH,"Нет в наличии","【Картридж для шокера Taser C2】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Картридж для стреляющего шокера C2 — оригинальное комплектующее, которое обеспечивает стабильную работу вашего устройства и продлевает срок его службы. Совместимость: Bolt, C2, Pulse. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Картридж для стреляющего шокера C2»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> Bolt, C2, Pulse</li><li><strong>Габаритные размеры:</strong> 50х30х25 мм</li><li><strong>Вес:</strong> 35 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Картридж для стреляющего шокера C2</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Заказать «Картридж для стреляющего шокера C2» можно с доставкой по всей Украине — отправка в день оформления заказа Новой Почтой.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""50х30х25 мм"",""Вес"":""35 грамм"",""Совместимость"":""Bolt, C2, Pulse""}","[""image/catalog/fototovarov/detali/taser-c2/cartridge-taser-c2-1.jpg"",""image/catalog/fototovarov/detali/taser-c2/cartridge-taser-c2-2.jpg""]",,"≡ Картридж для электрошокера Тазер C2 | Paralizator","【Картридж для шокера Taser C2】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","картридж для стреляющего шокера c2, картридж, стреляющего, сша, аксессуары и комплектующие, картриджи для электрошокеров, купить картридж для стреляющего шокера c2","Главная > Аксессуары и комплектующие > Картриджи для электрошокеров",https://paralizator.com.ua/cartridge-c2,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Картриджи для электрошокеров","Картридж для стреляющего шокера Phazzer A1",177,800,,UAH,"В наличии","【Картридж для электрошокера Phazzer A1】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Картридж для стреляющего шокера Phazzer A1 — качественная и проверенная комплектующая, подходящая для штатной замены без потери характеристик. Совместимость: Phazzer A1. Страна-производитель — Корея. На изделие распространяется официальная гарантия 1 мес.</p>
<h4>Технические характеристики «Картридж для стреляющего шокера Phazzer A1»:</h4>
<ul><li><strong>Бренд:</strong> Wei Shi</li><li><strong>Страна производитель:</strong> Корея</li><li><strong>Совместимость:</strong> Phazzer A1</li><li><strong>Габаритные размеры:</strong> 45х40х30 мм</li><li><strong>Вес:</strong> 35 грамм</li><li><strong>Гарантия:</strong> 1 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Картридж для стреляющего шокера Phazzer A1</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Оформите заказ на «Картридж для стреляющего шокера Phazzer A1» — поможем с выбором, проконсультируем и оперативно отправим в ваш город.</p>","{""Страна производитель"":""Корея"",""Бренд"":""Wei Shi"",""Год выпуска"":""2021 г."",""Гарантия"":""1 мес"",""Габаритные размеры"":""45х40х30 мм"",""Вес"":""35 грамм"",""Совместимость"":""Phazzer A1""}","[""image/catalog/fototovarov/detali/taser-a1/cartridge-taser-a1-1.jpg"",""image/catalog/fototovarov/detali/taser-a1/cartridge-taser-a1-2.jpg""]",,"≡ Картридж для электрошокера Phazzer A1 | Paralizator","【Картридж для электрошокера Phazzer A1】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","картридж для стреляющего шокера phazzer a1, картридж, стреляющего, phazzer, wei shi, корея, аксессуары и комплектующие, картриджи для электрошокеров, купить картридж для стреляющего шокера phazzer a1","Главная > Аксессуары и комплектующие > Картриджи для электрошокеров",https://paralizator.com.ua/cartridge-phazzer-a1,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Картриджи для электрошокеров","Картридж для стреляющего шокера Phazzer",176,600,,UAH,"В наличии","【Картридж для электрошокера Тазер】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Картридж для стреляющего шокера Phazzer — качественная и проверенная комплектующая, подходящая для штатной замены без потери характеристик. Страна-производитель — Китай. На изделие распространяется официальная гарантия 1 мес.</p>
<h4>Технические характеристики «Картридж для стреляющего шокера Phazzer»:</h4>
<ul><li><strong>Бренд:</strong> Wei Shi</li><li><strong>Страна производитель:</strong> Китай</li><li><strong>Габаритные размеры:</strong> 45х40х30 мм</li><li><strong>Вес:</strong> 35 грамм</li><li><strong>Гарантия:</strong> 1 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Картридж для стреляющего шокера Phazzer</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Оформите заказ на «Картридж для стреляющего шокера Phazzer» — поможем с выбором, проконсультируем и оперативно отправим в ваш город.</p>","{""Страна производитель"":""Китай"",""Бренд"":""Wei Shi"",""Год выпуска"":""2021 г."",""Гарантия"":""1 мес"",""Габаритные размеры"":""45х40х30 мм"",""Вес"":""35 грамм""}","[""image/catalog/fototovarov/detali/tser/cartridge-taser-1.jpg"",""image/catalog/fototovarov/detali/tser/cartridge-taser-2.jpg""]",,"≡ Картридж для электрошокера Тазер (China) | Paralizator","【Картридж для электрошокера Тазер】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","картридж для стреляющего шокера phazzer, картридж, стреляющего, phazzer, wei shi, китай, аксессуары и комплектующие, картриджи для электрошокеров, купить картридж для стреляющего шокера phazzer","Главная > Аксессуары и комплектующие > Картриджи для электрошокеров",https://paralizator.com.ua/cartridge-phazzer,"2026-06-13 19:57:10",ok,
,"Аксессуары и комплектующие","Картриджи для электрошокеров","Картридж для стреляющего шокера Pulse",180,,,UAH,"Нет в наличии","【Картридж для шокера Taser Pulse】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","<p>Картридж для стреляющего шокера Pulse — оригинальное комплектующее, которое обеспечивает стабильную работу вашего устройства и продлевает срок его службы. Совместимость: Bolt, C2, Pulse. Страна-производитель — США. На изделие распространяется официальная гарантия 12 мес.</p>
<h4>Технические характеристики «Картридж для стреляющего шокера Pulse»:</h4>
<ul><li><strong>Страна производитель:</strong> США</li><li><strong>Совместимость:</strong> Bolt, C2, Pulse</li><li><strong>Габаритные размеры:</strong> 50х30х25 мм</li><li><strong>Вес:</strong> 35 грамм</li><li><strong>Гарантия:</strong> 12 мес</li></ul>
<h4>В комплект поставки входит:</h4>
<ul><li>Картридж для стреляющего шокера Pulse</li><li>Упаковка</li><li>Гарантийный талон</li></ul>
<p>Заказать «Картридж для стреляющего шокера Pulse» можно с доставкой по всей Украине — отправка в день оформления заказа Новой Почтой.</p>","{""Страна производитель"":""США"",""Год выпуска"":""2021 г."",""Гарантия"":""12 мес"",""Габаритные размеры"":""50х30х25 мм"",""Вес"":""35 грамм"",""Совместимость"":""Bolt, C2, Pulse""}","[""image/catalog/fototovarov/detali/pulse/cartridge-taser-pulse-1.jpg"",""image/catalog/fototovarov/detali/pulse/cartridge-taser-pulse-2.jpg""]",,"≡ Картридж для электрошокера Тазер Pulse | Paralizator","【Картридж для шокера Taser Pulse】 Дальность выстрела 5 метров ➤ 100% наличие ✈ Быстрая доставка ➤ Магазин шокеров №1 в Украине ✓ Заходите!","картридж для стреляющего шокера pulse, картридж, стреляющего, pulse, сша, аксессуары и комплектующие, картриджи для электрошокеров, купить картридж для стреляющего шокера pulse","Главная > Аксессуары и комплектующие > Картриджи для электрошокеров",https://paralizator.com.ua/cartridge-pulse,"2026-06-13 19:57:10",ok,
